"","x"
"6110",3
"7922",3
"4694",3
"7994",1
"7481",1
"3724",3
"3322",3
"3127",3
"1898",2
"952",3
"6231",2
"7466",3
"7469",1
"5791",1
"1423",3
"5429",3
"5394",3
"1540",3
"4599",3
"4683",3
"1272",1
"7969",3
"3222",3
"2097",3
"2227",3
"6878",3
"1475",3
"7160",3
"928",2
"3260",3
"1339",3
"2715",3
"3157",2
"4538",2
"2047",1
"4354",1
"2168",3
"5075",3
"2243",3
"6275",1
"6699",3
"4770",2
"8076",3
"1161",3
"7654",3
"7438",3
"7752",2
"8177",3
"1056",3
"3288",3
"1203",2
"5767",1
"1134",2
"4353",1
"384",2
"4502",2
"456",2
"4707",2
"66",3
"3767",3
"1531",2
"5112",2
"4362",2
"4409",3
"2851",3
"7593",2
"784",3
"5696",3
"540",3
"6559",3
"2420",3
"7573",2
"1018",3
"2422",3
"3620",1
"4799",3
"3057",1
"4073",3
"4363",3
"2198",3
"1030",1
"49",3
"378",1
"6152",3
"4687",3
"1605",2
"4802",3
"8174",3
"3637",3
"5538",2
"7718",3
"3330",2
"2487",3
"2654",2
"1847",2
"6468",2
"6620",1
"4020",3
"7939",1
"5260",3
"270",2
"1704",2
"7807",3
"7660",3
"6103",3
"3800",3
"2561",1
"2737",1
"67",3
"8194",3
"3060",3
"7070",3
"5979",3
"8127",3
"4513",3
"4669",3
"7509",2
"264",3
"3930",2
"2220",3
"7446",3
"675",2
"8118",3
"5994",3
"6035",1
"6460",3
"5372",2
"4019",3
"7749",3
"2801",2
"349",3
"5337",2
"5319",3
"6166",1
"6252",3
"92",3
"242",2
"7013",3
"6590",3
"5081",3
"628",3
"2568",3
"1435",3
"4193",3
"3480",2
"4092",3
"2077",2
"2538",3
"7458",3
"5140",3
"4774",1
"2787",2
"3479",3
"646",2
"7449",3
"3401",3
"5602",1
"5688",3
"4872",3
"366",2
"3102",3
"8189",1
"4080",3
"5406",2
"5675",3
"6962",3
"5720",3
"8198",1
"2645",3
"3899",3
"839",3
"353",3
"459",1
"3596",3
"7079",2
"426",3
"6410",3
"170",1
"3162",1
"7252",1
"5327",1
"7470",3
