ID,READING_DATETIME,CALENDAR_KEY,EVENT_KEY,GENERAL_SUPPLY_KWH,CONTROLLED_LOAD_KWH,GROSS_GENERATION_KWH,NET_GENERATION_KWH,OTHER_KWH
10006414,2013-04-24 22:00:00,298813,0,0.044,0,0,0,0
10006414,2013-04-24 22:30:00,298816,0,0.055,0,0,0,0
10006414,2013-04-24 23:00:00,298819,0,0.051,0,0,0,0
10006414,2013-04-24 23:30:00,298822,0,0.049,0,0,0,0
10006414,2013-04-25 00:00:00,298825,0,0.059,0,0,0,0
10006414,2013-04-25 00:30:00,298828,0,0.047,0,0,0,0
10006414,2013-04-25 01:00:00,298831,0,0.056,0,0,0,0
10006414,2013-04-25 01:30:00,298834,0,0.053,0,0,0,0
10006414,2013-04-25 02:00:00,298837,0,0.101,0,0,0,0
10006414,2013-04-25 02:30:00,298840,0,0.111,0,0,0,0
10006414,2013-04-25 03:00:00,298843,0,0.069,0,0,0,0
10006414,2013-04-25 03:30:00,298846,0,0.053,0,0,0,0
10006414,2013-04-25 04:00:00,298849,0,0.056,0,0,0,0
10006414,2013-04-25 04:30:00,298852,0,0.247,0,0,0,0
10006414,2013-04-25 05:00:00,298855,0,0.055,0,0,0,0
10006414,2013-04-25 05:30:00,298858,0,0.059,0,0,0,0
10006414,2013-04-25 06:00:00,298861,0,0.129,0,0,0,0
10006414,2013-04-25 06:30:00,298864,0,0.08,0,0,0,0
10006414,2013-04-25 07:00:00,298867,0,0.298,0,0,0,0
10006414,2013-04-25 07:30:00,298870,0,0.19,0,0,0,0
10006414,2013-04-25 08:00:00,298873,0,0.359,0,0,0,0
10006414,2013-04-25 08:30:00,298876,0,0.304,0,0,0,0
10006414,2013-04-25 09:00:00,298879,0,0.215,0,0,0,0
10006414,2013-04-25 09:30:00,298882,0,0.239,0,0,0,0
10006414,2013-04-25 10:00:00,298885,0,0.665,0,0,0,0
10006414,2013-04-25 10:30:00,298888,0,0.187,0,0,0,0
10006414,2013-04-25 11:00:00,298891,0,0.09,0,0,0,0
10006414,2013-04-25 11:30:00,298894,0,0.077,0,0,0,0
10006414,2013-04-25 12:00:00,298897,0,0.091,0,0,0,0
10006414,2013-04-25 12:30:00,298900,0,0.076,0,0,0,0
10006414,2013-04-25 13:00:00,298903,0,0.14,0,0,0,0
10006414,2013-04-25 13:30:00,298906,0,0.325,0,0,0,0
10006414,2013-04-25 14:00:00,299422,0,0.6,0,0,0,0
10006414,2013-04-25 14:30:00,299425,0,0.828,0,0,0,0
10006414,2013-04-25 15:00:00,299428,0,0.346,0,0,0,0
10006414,2013-04-25 15:30:00,299431,0,0.089,0,0,0,0
10006414,2013-04-25 16:00:00,299434,0,0.219,0,0,0,0
10006414,2013-04-25 16:30:00,299437,0,0.216,0,0,0,0
10006414,2013-04-25 17:00:00,299440,0,0.184,0,0,0,0
10006414,2013-04-25 17:30:00,299443,0,0.103,0,0,0,0
10006414,2013-04-25 18:00:00,299446,0,0.108,0,0,0,0
10006414,2013-04-25 18:30:00,299449,0,0.26,0,0,0,0
10006414,2013-04-25 19:00:00,299452,0,0.402,0,0,0,0
10006414,2013-04-25 19:30:00,299455,0,0.381,0,0,0,0
10006414,2013-04-25 20:00:00,299458,0,0.178,0,0,0,0
10006414,2013-04-25 20:30:00,299461,0,0.334,0,0,0,0
10006414,2013-04-25 21:00:00,299464,0,0.32,0,0,0,0
10006414,2013-04-25 21:30:00,299467,0,0.307,0,0,0,0
10006414,2013-04-25 22:00:00,299470,0,0.191,0,0,0,0
10006414,2013-04-25 22:30:00,299473,0,0.262,0,0,0,0
10006414,2013-04-25 23:00:00,299476,0,0.28,0,0,0,0
10006414,2013-04-25 23:30:00,299479,0,0.311,0,0,0,0
10006414,2013-04-26 00:00:00,299482,0,0.268,0,0,0,0
10006414,2013-04-26 00:30:00,299485,0,0.276,0,0,0,0
10006414,2013-04-26 01:00:00,299488,0,0.271,0,0,0,0
10006414,2013-04-26 01:30:00,299491,0,0.152,0,0,0,0
10006414,2013-04-26 02:00:00,299494,0,0.121,0,0,0,0
10006414,2013-04-26 02:30:00,299497,0,0.121,0,0,0,0
10006414,2013-04-26 03:00:00,299500,0,0.12,0,0,0,0
10006414,2013-04-26 03:30:00,299503,0,0.115,0,0,0,0
10006414,2013-04-26 04:00:00,299506,0,0.064,0,0,0,0
10006414,2013-04-26 04:30:00,299509,0,0.057,0,0,0,0
10006414,2013-04-26 05:00:00,299512,0,0.057,0,0,0,0
10006414,2013-04-26 05:30:00,299515,0,0.059,0,0,0,0
10006414,2013-04-26 06:00:00,299518,0,0.146,0,0,0,0
10006414,2013-04-26 06:30:00,299521,0,0.072,0,0,0,0
10006414,2013-04-26 07:00:00,299524,0,0.099,0,0,0,0
10006414,2013-04-26 07:30:00,299527,0,0.249,0,0,0,0
10006414,2013-04-26 08:00:00,299530,0,0.114,0,0,0,0
10006414,2013-04-26 08:30:00,299533,0,0.064,0,0,0,0
10006414,2013-04-26 09:00:00,299536,0,0.079,0,0,0,0
10006414,2013-04-26 09:30:00,299539,0,0.047,0,0,0,0
10006414,2013-04-26 10:00:00,299542,0,0.045,0,0,0,0
10006414,2013-04-26 10:30:00,299545,0,0.047,0,0,0,0
10006414,2013-04-26 11:00:00,299548,0,0.099,0,0,0,0
10006414,2013-04-26 11:30:00,299551,0,0.089,0,0,0,0
10006414,2013-04-26 12:00:00,299554,0,0.072,0,0,0,0
10006414,2013-04-26 12:30:00,299557,0,0.06,0,0,0,0
10006414,2013-04-26 13:00:00,299560,0,0.04,0,0,0,0
10006414,2013-04-26 13:30:00,299563,0,0.052,0,0,0,0
10006414,2013-04-26 14:00:00,299566,0,0.07,0,0,0,0
10006414,2013-04-26 14:30:00,299569,0,0.093,0,0,0,0
10006414,2013-04-26 15:00:00,299572,0,0.093,0,0,0,0
10006414,2013-04-26 15:30:00,299575,0,0.085,0,0,0,0
10006414,2013-04-26 16:00:00,299578,0,0.066,0,0,0,0
10006414,2013-04-26 16:30:00,299581,0,0.053,0,0,0,0
10006414,2013-04-26 17:00:00,299584,0,0.054,0,0,0,0
10006414,2013-04-26 17:30:00,299587,0,0.156,0,0,0,0
10006414,2013-04-26 18:00:00,299590,0,0.226,0,0,0,0
10006414,2013-04-26 18:30:00,300106,0,0.523,0,0,0,0
10006414,2013-04-26 19:00:00,300109,0,0.354,0,0,0,0
10006414,2013-04-26 19:30:00,300112,0,0.331,0,0,0,0
10006414,2013-04-26 20:00:00,300115,0,0.283,0,0,0,0
10006414,2013-04-26 20:30:00,300118,0,0.459,0,0,0,0
10006414,2013-04-26 21:00:00,300121,0,0.854,0,0,0,0
10006414,2013-04-26 21:30:00,300124,0,0.385,0,0,0,0
10006414,2013-04-26 22:00:00,300127,0,0.099,0,0,0,0
10006414,2013-04-26 22:30:00,300130,0,0.334,0,0,0,0
10006414,2013-04-26 23:00:00,300133,0,0.881,0,0,0,0
10006414,2013-04-26 23:30:00,300136,0,0.895,0,0,0,0
10006414,2013-04-27 00:00:00,300139,0,0.963,0,0,0,0
10006414,2013-04-27 00:30:00,300142,0,0.891,0,0,0,0
10006414,2013-04-27 01:00:00,300145,0,0.886,0,0,0,0
10006414,2013-04-27 01:30:00,300148,0,0.9,0,0,0,0
10006414,2013-04-27 02:00:00,300151,0,0.622,0,0,0,0
10006414,2013-04-27 02:30:00,300154,0,0.298,0,0,0,0
10006414,2013-04-27 03:00:00,300157,0,0.419,0,0,0,0
10006414,2013-04-27 03:30:00,300160,0,0.301,0,0,0,0
10006414,2013-04-27 04:00:00,300163,0,0.371,0,0,0,0
10006414,2013-04-27 04:30:00,300166,0,0.339,0,0,0,0
10006414,2013-04-27 05:00:00,300169,0,0.306,0,0,0,0
10006414,2013-04-27 05:30:00,300172,0,0.324,0,0,0,0
10006414,2013-04-27 06:00:00,300175,0,0.336,0,0,0,0
10006414,2013-04-27 06:30:00,300178,0,0.395,0,0,0,0
10006414,2013-04-27 07:00:00,300181,0,0.304,0,0,0,0
10006414,2013-04-27 07:30:00,300184,0,0.109,0,0,0,0
10006414,2013-04-27 08:00:00,300187,0,0.31,0,0,0,0
10006414,2013-04-27 08:30:00,300190,0,0.255,0,0,0,0
10006414,2013-04-27 09:00:00,300193,0,0.195,0,0,0,0
10006414,2013-04-27 09:30:00,300196,0,0.403,0,0,0,0
10006414,2013-04-27 10:00:00,300199,0,0.179,0,0,0,0
10006414,2013-04-27 10:30:00,300202,0,0.099,0,0,0,0
10006414,2013-04-27 11:00:00,300205,0,0.09,0,0,0,0
10006414,2013-04-27 11:30:00,300208,0,0.072,0,0,0,0
10006414,2013-04-27 12:00:00,300211,0,0.057,0,0,0,0
10006414,2013-04-27 12:30:00,300214,0,0.055,0,0,0,0
10006414,2013-04-27 13:00:00,300217,0,0.056,0,0,0,0
10006414,2013-04-27 13:30:00,300220,0,0.056,0,0,0,0
10006414,2013-04-27 14:00:00,300223,0,0.049,0,0,0,0
10006414,2013-04-27 14:30:00,300226,0,0.047,0,0,0,0
10006414,2013-04-27 15:00:00,300229,0,0.068,0,0,0,0
10006414,2013-04-27 15:30:00,300232,0,0.069,0,0,0,0
10006414,2013-04-27 16:00:00,300235,0,0.088,0,0,0,0
10006414,2013-04-27 16:30:00,300238,0,0.095,0,0,0,0
10006414,2013-04-27 17:00:00,300241,0,0.14,0,0,0,0
10006414,2013-04-27 17:30:00,300244,0,0.085,0,0,0,0
10006414,2013-04-27 18:00:00,300247,0,0.091,0,0,0,0
10006414,2013-04-27 18:30:00,300250,0,0.422,0,0,0,0
10006414,2013-04-27 19:00:00,300253,0,0.223,0,0,0,0
10006414,2013-04-27 19:30:00,300256,0,0.141,0,0,0,0
10006414,2013-04-27 20:00:00,300259,0,0.125,0,0,0,0
10006414,2013-04-27 20:30:00,300262,0,0.139,0,0,0,0
10006414,2013-04-27 21:00:00,300265,0,0.925,0,0,0,0
10006414,2013-04-27 21:30:00,300268,0,0.809,0,0,0,0
10006414,2013-04-27 22:00:00,300271,0,0.277,0,0,0,0
10006414,2013-04-27 22:30:00,300274,0,0.296,0,0,0,0
10006414,2013-04-27 23:00:00,289333,0,0.296,0,0,0,0
10006414,2013-04-27 23:30:00,289336,0,0.265,0,0,0,0
10006414,2013-04-28 00:00:00,289339,0,0.239,0,0,0,0
10006414,2013-04-28 00:30:00,289342,0,0.228,0,0,0,0
10006414,2013-04-28 01:00:00,289345,0,0.227,0,0,0,0
10006414,2013-04-28 01:30:00,289348,0,0.167,0,0,0,0
10006414,2013-04-28 02:00:00,289351,0,0.058,0,0,0,0
10006414,2013-04-28 02:30:00,289354,0,0.057,0,0,0,0
10006414,2013-04-28 03:00:00,289357,0,0.054,0,0,0,0
10006414,2013-04-28 03:30:00,289360,0,0.052,0,0,0,0
10006414,2013-04-28 04:00:00,289363,0,0.052,0,0,0,0
10006414,2013-04-28 04:30:00,289366,0,0.052,0,0,0,0
10006414,2013-04-28 05:00:00,289369,0,0.052,0,0,0,0
10006414,2013-04-28 05:30:00,289372,0,0.472,0,0,0,0
10006414,2013-04-28 06:00:00,289375,0,0.498,0,0,0,0
10006414,2013-04-28 06:30:00,289378,0,0.498,0,0,0,0
10006414,2013-04-28 07:00:00,289381,0,0.511,0,0,0,0
10006414,2013-04-28 07:30:00,289384,0,0.595,0,0,0,0
10006414,2013-04-28 08:00:00,289387,0,0.833,0,0,0,0
10006414,2013-04-28 08:30:00,289390,0,0.355,0,0,0,0
10006414,2013-04-28 09:00:00,289393,0,0.274,0,0,0,0
10006414,2013-04-28 09:30:00,289396,0,0.2,0,0,0,0
10006414,2013-04-28 10:00:00,289399,0,0.225,0,0,0,0
10006414,2013-04-28 10:30:00,289402,0,0.265,0,0,0,0
10006414,2013-04-28 11:00:00,289405,0,0.159,0,0,0,0
10006414,2013-04-28 11:30:00,289408,0,0.136,0,0,0,0
10006414,2013-04-28 12:00:00,289411,0,0.133,0,0,0,0
10006414,2013-04-28 12:30:00,289414,0,0.184,0,0,0,0
10006414,2013-04-28 13:00:00,289417,0,0.125,0,0,0,0
10006414,2013-04-28 13:30:00,289420,0,0.257,0,0,0,0
10006414,2013-04-28 14:00:00,289423,0,0.487,0,0,0,0
10006414,2013-04-28 14:30:00,289426,0,0.079,0,0,0,0
10006414,2013-04-28 15:00:00,289429,0,0.053,0,0,0,0
10006414,2013-04-28 15:30:00,289432,0,0.052,0,0,0,0
10006414,2013-04-28 16:00:00,289435,0,0.052,0,0,0,0
10006414,2013-04-28 16:30:00,289438,0,0.051,0,0,0,0
10006414,2013-04-28 17:00:00,289441,0,0.051,0,0,0,0
10006414,2013-04-28 17:30:00,289444,0,0.052,0,0,0,0
10006414,2013-04-28 18:00:00,289447,0,0.05,0,0,0,0
10006414,2013-04-28 18:30:00,289450,0,0.051,0,0,0,0
10006414,2013-04-28 19:00:00,289453,0,0.143,0,0,0,0
10006414,2013-04-28 19:30:00,289456,0,0.323,0,0,0,0
10006414,2013-04-28 20:00:00,289459,0,0.171,0,0,0,0
10006414,2013-04-28 20:30:00,289462,0,0.131,0,0,0,0
10006414,2013-04-28 21:00:00,289465,0,0.316,0,0,0,0
10006414,2013-04-28 21:30:00,289468,0,0.277,0,0,0,0
10006414,2013-04-28 22:00:00,289471,0,0.291,0,0,0,0
10006414,2013-04-28 22:30:00,289474,0,0.29,0,0,0,0
10006414,2013-04-28 23:00:00,289477,0,0.208,0,0,0,0
10006414,2013-04-28 23:30:00,289480,0,0.183,0,0,0,0
10006414,2013-04-29 00:00:00,289483,0,0.063,0,0,0,0
10006414,2013-04-29 00:30:00,289486,0,0.053,0,0,0,0
10006414,2013-04-29 01:00:00,289489,0,0.053,0,0,0,0
10006414,2013-04-29 01:30:00,289492,0,0.104,0,0,0,0
10006414,2013-04-29 02:00:00,289495,0,0.546,0,0,0,0
10006414,2013-04-29 02:30:00,289498,0,0.437,0,0,0,0
10006414,2013-04-29 03:00:00,289501,0,0.434,0,0,0,0
10006414,2013-04-29 03:30:00,290017,0,0.454,0,0,0,0
10006414,2013-04-29 04:00:00,290020,0,0.457,0,0,0,0
10006414,2013-04-29 04:30:00,290023,0,0.45,0,0,0,0
10006414,2013-04-29 05:00:00,290026,0,0.443,0,0,0,0
10006414,2013-04-29 05:30:00,290029,0,0.447,0,0,0,0
10006414,2013-04-29 06:00:00,290032,0,0.458,0,0,0,0
10006414,2013-04-29 06:30:00,290035,0,0.474,0,0,0,0
10006414,2013-04-29 07:00:00,290038,0,0.524,0,0,0,0
10006414,2013-04-29 07:30:00,290041,0,0.565,0,0,0,0
10006414,2013-04-29 08:00:00,290044,0,0.277,0,0,0,0
10006414,2013-04-29 08:30:00,290047,0,0.052,0,0,0,0
10006414,2013-04-29 09:00:00,290050,0,0.052,0,0,0,0
10006414,2013-04-29 09:30:00,290053,0,0.058,0,0,0,0
10006414,2013-04-29 10:00:00,290056,0,0.048,0,0,0,0
10006414,2013-04-29 10:30:00,290059,0,0.049,0,0,0,0
10006414,2013-04-29 11:00:00,290062,0,0.049,0,0,0,0
10006414,2013-04-29 11:30:00,290065,0,0.054,0,0,0,0
10006414,2013-04-29 12:00:00,290068,0,0.121,0,0,0,0
10006414,2013-04-29 12:30:00,290071,0,0.097,0,0,0,0
10006414,2013-04-29 13:00:00,290074,0,0.063,0,0,0,0
10006414,2013-04-29 13:30:00,290077,0,0.056,0,0,0,0
10006414,2013-04-29 14:00:00,290080,0,0.051,0,0,0,0
10006414,2013-04-29 14:30:00,290083,0,0.051,0,0,0,0
10006414,2013-04-29 15:00:00,290086,0,0.052,0,0,0,0
10006414,2013-04-29 15:30:00,290089,0,0.052,0,0,0,0
10006414,2013-04-29 16:00:00,290092,0,0.094,0,0,0,0
10006414,2013-04-29 16:30:00,290095,0,0.145,0,0,0,0
10006414,2013-04-29 17:00:00,290098,0,0.236,0,0,0,0
10006414,2013-04-29 17:30:00,290101,0,0.18,0,0,0,0
10006414,2013-04-29 18:00:00,290104,0,0.166,0,0,0,0
10006414,2013-04-29 18:30:00,290107,0,0.28,0,0,0,0
10006414,2013-04-29 19:00:00,290110,0,0.305,0,0,0,0
10006414,2013-04-29 19:30:00,290113,0,0.194,0,0,0,0
10006414,2013-04-29 20:00:00,290116,0,0.248,0,0,0,0
10006414,2013-04-29 20:30:00,290119,0,0.219,0,0,0,0
10006414,2013-04-29 21:00:00,290122,0,0.153,0,0,0,0
10006414,2013-04-29 21:30:00,290125,0,0.205,0,0,0,0
10006414,2013-04-29 22:00:00,290128,0,0.221,0,0,0,0
10006414,2013-04-29 22:30:00,290131,0,0.189,0,0,0,0
10006414,2013-04-29 23:00:00,290134,0,0.28,0,0,0,0
10006414,2013-04-29 23:30:00,290137,0,0.3,0,0,0,0
10006414,2013-04-30 00:00:00,290140,0,0.272,0,0,0,0
10006414,2013-04-30 00:30:00,290143,0,0.26,0,0,0,0
10006414,2013-04-30 01:00:00,290146,0,0.239,0,0,0,0
10006414,2013-04-30 01:30:00,290149,0,0.179,0,0,0,0
10006414,2013-04-30 02:00:00,290152,0,0.06,0,0,0,0
10006414,2013-04-30 02:30:00,290155,0,0.541,0,0,0,0
10006414,2013-04-30 03:00:00,290158,0,0.461,0,0,0,0
10006414,2013-04-30 03:30:00,290161,0,0.458,0,0,0,0
10006414,2013-04-30 04:00:00,290164,0,0.413,0,0,0,0
10006414,2013-04-30 04:30:00,290167,0,0.409,0,0,0,0
10006414,2013-04-30 05:00:00,290170,0,0.398,0,0,0,0
10006414,2013-04-30 05:30:00,290173,0,0.398,0,0,0,0
10006414,2013-04-30 06:00:00,290176,0,0.25,0,0,0,0
10006414,2013-04-30 06:30:00,290179,0,0.357,0,0,0,0
10006414,2013-04-30 07:00:00,290182,0,0.395,0,0,0,0
10006414,2013-04-30 07:30:00,290185,0,0.519,0,0,0,0
10006414,2013-04-30 08:00:00,296173,0,0.279,0,0,0,0
10006414,2013-04-30 08:30:00,296176,0,0.052,0,0,0,0
10006414,2013-04-30 09:00:00,296179,0,0.175,0,0,0,0
10006414,2013-04-30 09:30:00,296182,0,0.23,0,0,0,0
10006414,2013-04-30 10:00:00,296185,0,0.244,0,0,0,0
10006414,2013-04-30 10:30:00,296188,0,0.277,0,0,0,0
10006414,2013-04-30 11:00:00,296191,0,0.146,0,0,0,0
10006414,2013-04-30 11:30:00,296194,0,0.067,0,0,0,0
10006414,2013-04-30 12:00:00,296197,0,0.057,0,0,0,0
10006414,2013-04-30 12:30:00,296200,0,0.056,0,0,0,0
10006414,2013-04-30 13:00:00,296203,0,0.074,0,0,0,0
10006414,2013-04-30 13:30:00,296206,0,0.127,0,0,0,0
10006414,2013-04-30 14:00:00,296209,0,0.117,0,0,0,0
10006414,2013-04-30 14:30:00,296212,0,0.059,0,0,0,0
10006414,2013-04-30 15:00:00,296215,0,0.054,0,0,0,0
10006414,2013-04-30 15:30:00,296218,0,0.049,0,0,0,0
10006414,2013-04-30 16:00:00,296221,0,0.048,0,0,0,0
10006414,2013-04-30 16:30:00,296224,0,0.046,0,0,0,0
10006414,2013-04-30 17:00:00,296227,0,0.055,0,0,0,0
10006414,2013-04-30 17:30:00,296230,0,0.053,0,0,0,0
10006414,2013-04-30 18:00:00,296233,0,0.053,0,0,0,0
10006414,2013-04-30 18:30:00,296236,0,0.053,0,0,0,0
10006414,2013-04-30 19:00:00,296239,0,0.056,0,0,0,0
10006414,2013-04-30 19:30:00,296242,0,0.207,0,0,0,0
